"","COUNTY","par_1","par_2"
"334","Calhoun County, Florida",0.685547211123596,0.468063627428971
"335","Franklin County, Florida",0.391053120471711,0.188670860392024
"336","Collier County, Florida",0.408553393526614,0.184444712157416
"337","Liberty County, Florida",0.668928020845664,0.476000411574269
"338","Duval County, Florida",0.588011291347704,0.367060521897633
"339","Washington County, Florida",0.771242399412566,0.496911084746852
"340","Miami-Dade County, Florida",0.588332686366458,0.257244507802479
"341","Pasco County, Florida",0.579390093055482,0.438162907164217
"342","Baker County, Florida",0.719823925225435,0.549471257961208
"343","Hillsborough County, Florida",0.597700912569844,0.351805999674283
"344","Sumter County, Florida",0.40034671076305,0.336005696367769
"345","Palm Beach County, Florida",0.451428586645957,0.20754290560861
"346","Columbia County, Florida",0.604837417499122,0.44348290125093
"347","Taylor County, Florida",0.512776330485066,0.422376363707285
"348","Leon County, Florida",0.73334360925265,0.386714034433509
"349","Manatee County, Florida",0.52053299256952,0.339509957067639
"350","Alachua County, Florida",0.85744011238052,0.388591367933782
"351","DeSoto County, Florida",0.558832532028122,0.414527648346535
"352","Orange County, Florida",0.547050064154129,0.343961472088549
"353","Madison County, Florida",0.710759176982868,0.392204658138317
"354","Holmes County, Florida",0.759331784035081,0.475703105277698
"355","Union County, Florida",0.601038422503784,0.453069373192163
"356","Volusia County, Florida",0.552131119329723,0.384871373790479
"357","Bay County, Florida",0.515538166941518,0.379552290593566
"358","Escambia County, Florida",0.514539569424064,0.406214676276821
"359","Levy County, Florida",0.618574941368157,0.450779584701323
"360","Indian River County, Florida",0.399488718134149,0.204009919800263
"361","Walton County, Florida",0.449798975099785,0.249999776713069
"362","Sarasota County, Florida",0.407206753700224,0.268040453718339
"363","Pinellas County, Florida",0.544582163979996,0.316820540394337
"364","Gulf County, Florida",0.492475199627253,0.35133455052164
"365","Jackson County, Florida",0.69486441514196,0.442319362167743
"366","Highlands County, Florida",0.552698527773871,0.409632920611229
"367","Bradford County, Florida",0.836364583920596,0.477022627570137
"368","Santa Rosa County, Florida",0.521328137132688,0.438753758436577
"369","Gadsden County, Florida",0.807343507460248,0.486563961723086
"370","Broward County, Florida",0.555518968876111,0.326495252014266
"371","Okeechobee County, Florida",0.512805613024355,0.354211568850172
"372","Echols County, Georgia",0.46589545109763,0.260391033552852
"373","Meriwether County, Georgia",0.808081105688953,0.529737196767181
"374","Walton County, Georgia",0.604503000143388,0.473367901433848
"375","Heard County, Georgia",0.679655442988804,0.512134938629801
"376","Jenkins County, Georgia",0.974422536607982,0.479644911764832
"377","Brooks County, Georgia",0.728932539194963,0.413432773032114
"378","Columbia County, Georgia",0.532896965106144,0.496404263662088
"379","Richmond County, Georgia",0.762314101822764,0.446070894048953
"380","Mitchell County, Georgia",0.83835089397609,0.472335911332916
"381","Dooly County, Georgia",0.709103362499222,0.391069606320862
"382","Bacon County, Georgia",0.746547573616134,0.477532781531356
"383","Whitfield County, Georgia",0.432664429780846,0.353928754983893
"384","Berrien County, Georgia",0.770130435213525,0.46225850876655
