"","COUNTY","alpha","gamma","Gini"
"867","Essex County, New York",0.499797144332414,0.591845148691802,0.520658790445193
"868","Essex County, Vermont",0.653475935345548,0.456370415244163,0.452538473399006
"869","Essex County, Virginia",0.545317990044247,0.550140702171661,0.49621667221196
"870","Estill County, Kentucky",0.797477022328485,0.455910168670063,0.477498145126289
"871","Etowah County, Alabama",0.644374060248957,0.541627693301787,0.506609856744822
"872","Eureka County, Nevada",0.83252206661352,0.431597532064049,0.46977270837851
"873","Evangeline Parish, Louisiana",0.911400834538764,0.508582803525986,0.52592173379794
"874","Evans County, Georgia",0.747188225032619,0.543319323248273,0.523820848445043
"875","Fairbanks, Alaska",0.552952179975929,0.480119286559962,0.448753081548287
"876","Fairfax city, Virginia",0.61200709973746,0.47321145267408,0.455381295563469
"877","Fairfax County, Virginia",0.486271978983503,0.58407762437248,0.512210165221247
"878","Fairfield County, Connecticut",0.554785474823445,0.816326818274916,0.743554472687572
"879","Fairfield County, Ohio",0.649032998872067,0.473557759960962,0.462360223437561
"880","Fairfield County, South Carolina",0.753451776702773,0.581692925538607,0.551299388785782
"881","Fall River County, South Dakota",0.699794659835361,0.459611684406651,0.462871230621873
"882","Fallon County, Montana",0.494224562252105,0.61496339935334,0.538673467607313
"883","Falls Church city, Virginia",0.565591654083699,0.575493270452952,0.518564439410029
"884","Falls County, Texas",0.701979828881048,0.561721767850605,0.529686581856921
"885","Fannin County, Georgia",0.681382394674243,0.566466927775451,0.529954993164371
"886","Fannin County, Texas",0.611920292984774,0.558616939546301,0.513472423476773
"887","Faribault County, Minnesota",0.611399114208865,0.525353837585073,0.489835740943954
"888","Faulk County, South Dakota",0.680080596206992,0.499387338280739,0.484201305869378
"889","Faulkner County, Arkansas",0.668936440867516,0.494115560855629,0.478908448509951
"890","Fauquier County, Virginia",0.470164331387782,0.554858231352723,0.48658352603737
"891","Fayette County, Alabama",0.863365642319761,0.454516727662353,0.487471340007234
"892","Fayette County, Georgia",0.557714385863368,0.542560974603428,0.492806007203822
